sensor_1, 1547718199, 35.80018327300259
sensor_6, 1547718201, 16.402984393403084
sensor_7, 1547718202, 6.720945201171228
sensor_10, 1547718205, 38.101067604893444
sensor_1, 1547718200, 36.80018327300259
sensor_1, 1547718206, 36
sensor_1, 1547718208, 34
sensor_1, 1547718209, 45
sensor_1, 1547718210, 34
sensor_1, 1547718215, 36
sensor_1, 1547718216, 34
sensor_1, 1547718221, 22
sensor_1, 1547718223, 37
sensor_1, 1547718225, 48
sensor_1, 1547718226, 37
sensor_1, 1547718229, 27
sensor_1, 1547718239, 37
